"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mike Trout","Angels","706","3078","187","530","445","98","17.3 %","20.4 %",".300",".338",".305",".435",".605",".430","178","28.8","318.7","11.3","44.2","10155"
"Mookie Betts","Red Sox","742","3416","134","579","452","119","10.2 %","12.7 %",".222",".313",".302",".374",".524",".378","135","40.3","186.1","46.7","35.4","13611"
"Kris Bryant","Cubs","706","3105","138","486","403","34","11.9 %","23.6 %",".232",".342",".284",".385",".516",".383","139","22.0","173.7","1.6","27.8","15429"
"Christian Yelich","- - -","714","3110","126","459","430","93","11.2 %","20.2 %",".213",".357",".306",".388",".519",".384","142","25.4","189.6","-13.3","27.7","11477"
"Josh Donaldson","- - -","633","2785","156","435","417","21","14.0 %","20.5 %",".265",".300",".276",".382",".541",".390","146","3.7","159.3","18.8","27.6","5038"
"Jose Altuve","Astros","729","3215","107","479","378","123","7.7 %","11.9 %",".184",".341",".323",".380",".507",".376","142","0.0","163.9","-4.9","27.2","5417"
"Francisco Lindor","Indians","717","3244","130","478","384","93","8.0 %","14.0 %",".206",".300",".288",".347",".493",".354","119","4.0","78.2","79.1","27.2","12916"
"Nolan Arenado","Rockies","787","3376","199","519","621","12","8.9 %","15.8 %",".275",".304",".300",".362",".575",".387","127","0.9","116.9","41.5","26.9","9777"
"Paul Goldschmidt","- - -","791","3437","160","518","505","81","14.3 %","22.9 %",".233",".349",".293",".397",".525",".387","140","17.3","185.9","-45.2","25.5","9218"
"Anthony Rendon","Nationals","665","2850","108","420","428","27","11.2 %","15.3 %",".213",".316",".295",".379",".507",".374","131","6.2","119.6","40.9","25.2","12861"
"Bryce Harper","- - -","727","3150","164","498","486","59","16.8 %","22.0 %",".257",".316",".278",".402",".535",".391","144","4.9","173.9","-29.0","25.0","11579"
"Yasmani Grandal","- - -","663","2515","117","286","322","8","13.9 %","23.9 %",".217",".276",".240",".348",".456",".346","117","-26.0","28.1","137.2","24.9","11368"
"Manny Machado","- - -","793","3469","174","453","469","48","8.7 %","16.7 %",".223",".290",".279",".343",".502",".355","123","-4.1","92.9","32.3","24.6","11493"
"Xander Bogaerts","Red Sox","752","3286","94","475","452","50","8.4 %","17.2 %",".171",".339",".298",".360",".468",".354","119","17.4","92.7","35.9","24.3","12161"
"Jose Ramirez","Indians","687","2858","108","419","374","107","10.0 %","11.3 %",".217",".284",".281",".356",".499",".360","123","30.1","111.0","20.3","23.1","13510"
"Joey Votto","Reds","765","3310","121","448","391","31","17.2 %","17.0 %",".201",".340",".302",".426",".503",".396","147","-21.4","167.4","-47.6","23.1","4314"
"Freddie Freeman","Braves","713","3087","141","455","447","33","12.1 %","20.2 %",".238",".342",".299",".390",".537",".388","142","5.5","167.8","-38.5","23.1","5361"
"George Springer","Astros","666","3000","140","485","375","42","11.1 %","21.1 %",".216",".311",".274",".364",".491",".365","134","2.7","127.4","-3.5","22.8","12856"
"Buster Posey","Giants","655","2698","57","308","321","17","9.6 %","11.5 %",".133",".317",".295",".366",".428",".342","116","-15.6","36.4","96.7","22.4","9166"
"Justin Turner","Dodgers","645","2579","105","348","340","20","9.3 %","14.6 %",".211",".314",".297",".378",".508",".377","139","1.1","126.8","6.9","21.9","5235"
"Anthony Rizzo","Cubs","771","3346","147","450","514","41","11.5 %","14.0 %",".227",".293",".283",".389",".510",".381","138","-16.2","141.8","-41.4","21.0","3473"
"Alex Bregman","Astros","517","2238","99","346","320","34","12.7 %","14.2 %",".241",".296",".286",".384",".527",".384","146","2.3","131.0","-2.1","20.5","17678"
"J.D. Martinez","- - -","693","2969","184","456","509","16","10.0 %","24.2 %",".280",".353",".305",".376",".585",".399","150","-20.3","161.9","-62.8","20.4","6184"
"Nelson Cruz","- - -","726","3079","204","428","522","7","9.8 %","23.3 %",".273",".319",".288",".367",".561",".388","149","-19.1","165.5","-73.5","20.0","2434"
"Lorenzo Cain","- - -","687","2926","61","408","263","116","8.3 %","16.5 %",".131",".337",".292",".358",".424",".339","110","17.7","52.9","42.7","19.7","9077"
"Charlie Blackmon","Rockies","755","3378","144","572","400","88","7.5 %","17.4 %",".227",".342",".309",".370",".536",".382","124","5.0","107.3","-31.0","18.6","7859"
"Carlos Correa","Astros","546","2362","102","312","372","33","10.8 %","21.0 %",".212",".315",".277",".356",".489",".358","129","7.7","92.6","9.9","18.5","14162"
"Corey Seager","Dodgers","489","2069","73","302","266","10","9.2 %","19.2 %",".197",".339",".294",".362",".491",".361","128","9.9","82.0","32.7","18.2","13624"
"Matt Carpenter","Cardinals","713","3022","123","443","348","16","14.4 %","22.2 %",".225",".297",".255",".369",".480",".362","129","0.2","105.1","-26.0","18.0","8090"
"Andrelton Simmons","- - -","678","2737","40","300","272","54","6.3 %","8.5 %",".107",".290",".277",".326",".384",".308","93","0.5","-21.3","105.5","17.9","10847"
"Aaron Judge","Yankees","396","1718","110","290","246","18","16.1 %","31.6 %",".285",".357",".273",".394",".558",".397","152","1.4","111.9","8.1","17.8","15640"
"Giancarlo Stanton","- - -","528","2257","154","336","386","11","11.1 %","28.0 %",".290",".307",".266",".352",".555",".377","140","-1.6","108.6","-8.7","17.6","4949"
"J.T. Realmuto","- - -","674","2715","84","343","317","40","6.0 %","18.5 %",".175",".317",".279",".328",".454",".332","108","13.9","43.1","43.4","17.3","11739"
"Kyle Seager","Mariners","734","3085","128","363","402","15","8.5 %","17.5 %",".201",".269",".252",".322",".453",".329","110","-7.6","30.2","32.3","17.0","9785"
"Brian Dozier","- - -","750","3214","145","446","391","61","10.3 %","20.6 %",".219",".271",".247",".330",".466",".339","111","9.6","51.9","7.8","17.0","9810"
